problemSize,nProcessors,BCRSolveTime,spluSolveTime,Error,Parallel time,Sequential time
8196,8,0.15680932998657227,0.014113187789916992,9.397174659532935e-12,0.14366888999938965,0.012311697006225586
8196,16,0.17472577095031738,0.013986825942993164,9.39046742724303e-12,0.15502691268920898,0.01824641227722168
16388,1,0.5760653018951416,0.027660846710205078,2.6233752595328705e-11,0,0.5758421421051025
16388,2,0.34682679176330566,0.010737419128417969,2.6244497453925397e-11,0.3397834300994873,0.0064563751220703125
16388,4,0.2319185733795166,0.027516603469848633,2.6257683726490316e-11,0.22109222412109375,0.010134458541870117
16388,8,0.1796715259552002,0.028925657272338867,2.627662183094492e-11,0.1677110195159912,0.0110931396484375
16388,16,0.22761154174804688,0.02846693992614746,2.6314606642161616e-11,0.20569944381713867,0.020704269409179688
32772,1,1.1378889083862305,0.03632521629333496,7.406334768419808e-11,0,1.1376471519470215
32772,2,0.6465153694152832,0.018733739852905273,7.406333242997753e-11,0.6387407779693604,0.007241725921630859
32772,4,0.37888669967651367,0.04003262519836426,7.409710583125091e-11,0.36927366256713867,0.00889277458190918
32772,8,0.3081481456756592,0.04085588455200195,7.409572400477832e-11,0.29444408416748047,0.012738227844238281
32772,16,0.33568358421325684,0.04065418243408203,7.41740082526143e-11,0.31106090545654297,0.02295970916748047
65540,1,2.292187213897705,0.055582284927368164,2.085823868022522e-10,0,2.291562080383301
65540,2,1.302339792251587,0.04268002510070801,2.0856288059296986e-10,1.2860093116760254,0.015697717666625977
65540,4,0.7551379203796387,0.05585622787475586,2.086162800733461e-10,0.7387869358062744,0.015605688095092773
65540,8,0.5765023231506348,0.07102608680725098,2.0866330419866102e-10,0.5514919757843018,0.02391338348388672
65540,16,0.5496706962585449,0.05753159523010254,2.086953953157744e-10,0.5222799777984619,0.025507450103759766
131076,1,4.546522378921509,0.12067794799804688,5.870020127755675e-10,0,4.545536994934082
131076,2,2.5807859897613525,0.10452842712402344,5.869870205511633e-10,2.555586099624634,0.024567842483520508
131076,4,1.4246697425842285,0.10649704933166504,5.870754322704769e-10,1.402496099472046,0.0213315486907959
131076,8,1.0874814987182617,0.10678362846374512,5.871025364796932e-10,1.0552129745483398,0.03104567527770996
131076,16,1.1948177814483643,0.10733294486999512,5.872084676706277e-10,1.1478257179260254,0.04495525360107422
262148,1,9.226339340209961,0.23179149627685547,1.652440166075851e-09,0,9.221684217453003
262148,2,5.033865451812744,0.24830889701843262,1.652460511572747e-09,5.011496543884277,0.021641969680786133
262148,4,2.8546712398529053,0.24619293212890625,1.6524659673596788e-09,2.8202292919158936,0.03349709510803223
262148,8,2.1497175693511963,0.2474520206451416,1.6525980975216402e-09,2.102628231048584,0.045829057693481445
262148,16,2.610501766204834,0.25605177879333496,1.6526715748808402e-09,2.5449767112731934,0.06343579292297363
524292,1,18.210724353790283,0.516972541809082,4.622457793575669e-09,0,18.20836067199707
524292,2,10.313233852386475,0.44432783126831055,4.6225076131836034e-09,10.27010989189148,0.042424678802490234
524292,4,5.5977067947387695,0.45827245712280273,4.622476327615322e-09,5.535683870315552,0.06102561950683594
524292,8,4.0564491748809814,0.46987247467041016,4.622433768150889e-09,3.9736688137054443,0.08135652542114258
524292,16,4.49532413482666,0.47068166732788086,4.622792243652196e-09,4.389786005020142,0.10341167449951172
1048580,1,36.96402406692505,0.9985358715057373,1.2792207566457702e-08,0,36.955246686935425
1048580,2,20.041574001312256,1.0188755989074707,1.2792133978734928e-08,19.96592426300049,0.07488894462585449
1048580,4,11.435096979141235,1.0311193466186523,1.279226180060519e-08,11.354406118392944,0.07975959777832031
1048580,8,7.60757851600647,1.0651092529296875,1.27922952881445e-08,7.508039712905884,0.09790492057800293
1048580,16,7.951813220977783,1.055485486984253,1.2792136654734563e-08,7.822839736938477,0.1262662410736084
2097156,1,74.0812714099884,2.0959722995758057,3.467214188448943e-08,0,74.0749454498291
2097156,2,40.95835208892822,2.0510623455047607,3.4672098598957365e-08,40.86176013946533,0.09578227996826172
2097156,4,21.75778365135193,2.0661416053771973,3.4672155507815007e-08,21.654221534729004,0.10249638557434082
2097156,8,15.842200756072998,2.0916600227355957,3.467244909057952e-08,15.682539939880371,0.13857674598693848
2097156,16,15.866714239120483,2.0853464603424072,3.467257874245469e-08,15.657785177230835,0.20170283317565918
